"ID","Module","Feature (EN)","功能 (中文)","Description","Role","Phase","MVP In-Scope","Priority","Notes / Acceptance","Est Hours","Target Month"
"D-04","Booking & Interviews","Mode lock","預約模式鎖定","Prevent active sessions from changing event direction while the event is live.","Admin / System","P1","Yes","P1","Admin must unlock before changing booking direction.","16","M2"
"D-05","Booking & Interviews","Recruiter availability slots","招募方面談時段","Generate recruiter interview slots from event time frame, slot duration, buffer, and interviewer count.","Recruiter / Admin / System","P1","Yes","P0","Each time window creates one slot per interviewer; slots track available/booked/blocked status.","48","M1"
"D-06","Booking & Interviews","Applicant availability slots","學生可面談時段","Let applicants expose availability for recruiter-initiated booking mode.","Student / Recruiter","P1","Yes","P1","Applicant slots can be booked by recruiters when mode allows.","36","M2"
"D-07","Booking & Interviews","Transactional slot claim","交易式時段佔用","Use database transactions and row locking to avoid double-booked interview slots.","System","P1","Yes","P0","Concurrent accepts cannot claim the same available slot twice.","44","M1"
"D-08","Booking & Interviews","Waitlist handling","候補處理","Track waitlisted applications when a desired time cannot be immediately confirmed.","Student / Recruiter","P1","Yes","P1","Waitlisted status appears in student and recruiter surfaces.","24","M2"
"D-09","Booking & Interviews","Recruiter review actions","招募方面談審核","Allow recruiters to accept, reject, or waitlist student applications.","Recruiter","P1","Yes","P0","Status updates trigger email/in-app notification side effects where applicable.","36","M1"
"D-10","Booking & Interviews","Reschedule proposals","改期提案","Let recruiters suggest alternate interview times for pending or waitlisted applications.","Recruiter / Student","P1","Yes","P1","Student receives actionable proposal with Accept/Decline; accepted proposal claims a real slot.","48","M2"
"D-11","Booking & Interviews","Applicant busy conflict hint","學生衝突時段提示","Warn recruiters when a proposed time overlaps the student's confirmed interviews at other companies.","Recruiter / System","P1","Partial","P1","Recruiters see busy ranges but not the other company/position; override is allowed for applicant-busy only.","28","M2"
"D-12","Booking & Interviews","Student application ledger","學生應徵紀錄","Show every student's applications/interviews on `/profile` with company, job, status, and time.","Student","P1","Yes","P1","Statuses include pending, waitlisted, reschedule proposed, accepted, rejected, and cancelled.","28","M2"
"D-13","Booking & Interviews","Student cancellation toggle","學生取消功能開關","Let admin enable or disable student-initiated application/interview cancellation.","Admin / Student","P1","Yes","P2","Default off; API blocks cancellation when disabled even if UI is bypassed.","20","M2"
"D-14","Booking & Interviews","Admin booking time override","管理員面談時間修正","Allow admin to correct requested/proposed/confirmed booking times without manual SQL.","Admin","P1","Yes","P1","Override requires exact available recruiter slot for proposal/confirm actions and writes audit logs.","40","M2"
"D-15","Booking & Interviews","Booking reschedule audit log","改期稽核紀錄","Record proposal, retract, accept, decline, blocked, and admin correction events.","Admin / System","P1","Yes","P1","Operational history is durable in `booking_reschedule_logs`.","28","M2"
"E-01","Recruiter Dashboard","Company profile editor","公司資料編輯","Recruiters maintain company name, industry, contact email, website, description, logo, gallery, and interviewer count.","Recruiter","P1","Yes","P0","Changes save with explicit saved/saving/error feedback.","40","M1"
"E-02","Recruiter Dashboard","Company logo upload","公司 Logo 上傳","Upload recruiter logos for directory, job cards, and company pages.","Recruiter / Admin","P1","Yes","P1","Logos render with safe inset for long horizontal wordmarks.","18","M1"
"E-03","Recruiter Dashboard","Company gallery upload","公司相簿上傳","Upload multiple company photos for the public company profile.","Recruiter","P1","Yes","P2","Photos appear in the company gallery viewer.","24","M2"
"E-04","Recruiter Dashboard","Interviewer count setting","面談官數量設定","Recruiters configure number of parallel interviewers for slot capacity.","Recruiter / System","P1","Yes","P1","Changing interviewer count regenerates available slots without disturbing booked slots.","28","M2"
"E-05","Recruiter Dashboard","Job create/edit form","職缺建立與編輯","Recruiters create and edit job openings with title, JD link, category, location, work type, salary, seniority, language, visa, deadline, description, responsibilities, requirements, and benefits.","Recruiter","P1","Yes","P0","Job form validates configured salary currencies and shows save feedback.","56","M1"
"E-06","Recruiter Dashboard","Job moderation submission","職缺送審","Recruiters submit jobs for admin review before public listing when moderation is enabled.","Recruiter / Admin","P1","Yes","P0","Submitted jobs become pending until admin approves or rejects.","24","M1"
"E-07","Recruiter Dashboard","Instant publish mode","即時發布模式","Allow recruiters to publish and unpublish directly when admin disables job moderation.","Recruiter / Admin","P1","Yes","P2","Create/update APIs enforce the current moderation mode.","24","M2"
"E-08","Recruiter Dashboard","Recruiter bookings table","招募方面談列表","Recruiters view applications and interview statuses for their company.","Recruiter","P1","Yes","P0","Bookings table exposes candidate, position, CV link, requested/proposed time, and actions.","36","M1"
"E-09","Recruiter Dashboard","Interview schedule view","面談行程表","Show confirmed interviews in schedule-oriented format for event-day operations.","Recruiter","P1","Yes","P1","Recruiters can scan accepted interviews by time.","24","M2"
"E-10","Recruiter Dashboard","Applicant directory for reverse booking","學生目錄與反向邀約","Let recruiters browse applicant profiles and book candidates directly when event mode allows.","Recruiter","P1","Partial","P1","Current mode exposes broad applicant profiles; privacy tightening remains an open issue before scale.","48","M2"
"F-01","Admin Console","Admin overview dashboard","管理員總覽","Show registrations, recruiters, applicants, bookings, job volume, and operational health in one place.","Admin","P1","Yes","P0","Overview loads from server-side admin data and routes to detail tabs.","44","M1"
"F-02","Admin Console","Capacity analytics chart","容量分析圖表","Compare each company's interview slot supply against booking-request demand buckets.","Admin","P1","Yes","P1","Shows booked/available slots and accepted/unconfirmed/rejected request bars per company.","36","M2"
"F-03","Admin Console","Event branding settings","活動品牌設定","Configure event name, email name, tagline, organizer, venue, display date, and hero copy.","Admin","P1","Yes","P0","Settings feed homepage, email, and event UI surfaces.","32","M1"
"F-04","Admin Console","Event timeframe settings","活動時間設定","Configure event date, start/end time, slot duration, and buffer minutes.","Admin / System","P1","Yes","P0","Saving timeframe can regenerate unbooked recruiter slots.","40","M1"
"F-05","Admin Console","Booking mode controls","預約模式控制","Configure event mode, lock state, fallback, and student cancellation behavior.","Admin","P1","Yes","P0","Admin controls are enforced by both UI and API routes.","36","M1"
"F-06","Admin Console","Allowed recruiter domains","招募方網域白名單","Manage company/email-domain allowlist for recruiter onboarding.","Admin","P1","Yes","P1","Domain records include company and industry metadata.","24","M1"
"F-07","Admin Console","Exact recruiter email approvals","招募方 Email 審核名單","Approve exact recruiter emails for cases where domain allowlisting is too broad.","Admin","P1","Yes","P1","Approved emails can sign up even without a broad domain rule.","24","M2"
"F-08","Admin Console","Recruiter management","招募方管理","View recruiter records and edit company profiles on behalf of recruiters.","Admin","P1","Yes","P1","Admin profile edit excludes interviewer count to avoid unintended slot regeneration.","36","M2"
"F-09","Admin Console","Applicant management","學生管理","View registered applicants and profile details for operational support.","Admin","P1","Yes","P1","Admin applicants page supports event oversight and troubleshooting.","28","M2"
"F-10","Admin Console","Admin interviews table","管理員面談管理","View, filter, and moderate bookings/interviews across all companies.","Admin","P1","Yes","P0","Includes bulk/targeted operational controls such as cancellation and time override.","48","M2"
"F-11","Admin Console","Job review queue","職缺審核佇列","Approve or reject recruiter-created jobs and assign job categories.","Admin","P1","Yes","P0","Only approved jobs appear on public job pages when moderation is enabled.","44","M1"
"F-12","Admin Console","Recruiter pinning","招募方置頂排序","Pin selected recruiters to the top of public/homepage company lists.","Admin / Public visitor","P1","Yes","P2","Lower dense rank shows first; unpinned recruiters sort after pinned ones.","18","M2"
"F-13","Admin Console","CSV/export endpoint","資料匯出","Export administrative data for offline review or event operations.","Admin","P1","Yes","P1","Admin export route is protected and excludes public access.","24","M2"
"F-14","Admin Console","Emergency fallback link","緊急備援連結","Expose an admin-configurable fallback URL if the live system needs a manual backup flow.","Admin / Student / Recruiter","P1","Yes","P2","Fallback can be enabled without code deploy.","16","M2"
"G-01","Notifications & Email","Booking confirmation email","面談確認 Email","Send confirmation email when an interview is accepted.","Student / Recruiter / System","P1","Yes","P0","Email formats times in Asia/Taipei and handles Date or timestamp-string inputs.","28","M1"
"G-02","Notifications & Email","Application notification email","新應徵通知 Email","Notify recruiters when a student submits a pending application.","Recruiter / System","P1","Yes","P0","Recruiter receives an email immediately after booking request creation.","24","M1"
"G-03","Notifications & Email","Rejection/reschedule emails","拒絕與改期 Email","Send email for rejection, cancellation, reschedule proposal, and proposal response events.","Student / Recruiter / System","P1","Yes","P1","Proposal emails link directly to an actionable Accept/Decline state.","32","M2"
"G-04","Notifications & Email","In-app notifications","站內通知","Create notification rows for booking events and system messages.","Student / Recruiter","P1","Yes","P1","Notification bell lists unread events and opens relevant metadata URLs.","32","M2"
"G-05","Notifications & Email","Push subscriptions","推播訂閱","Store browser push subscriptions and send push notifications for important booking events.","Student / Recruiter / System","P1","Partial","P2","Requires VAPID keys; subscription storage exists for browser push support.","36","M2"
"G-06","Notifications & Email","Interview reminders","面談提醒","Admin-triggered reminders for upcoming interviews.","Admin / Student / Recruiter","P1","Yes","P1","Admin route can send reminder emails/notifications before the event.","28","M2"
"G-07","Notifications & Email","Email delivery logs","Email 發送紀錄","Track email type, recipient, subject, success, and error information.","Admin / System","P1","Yes","P2","Operational debugging can query email send history.","16","M2"
"H-01","Content & Media","Image upload service","圖片上傳服務","Upload images to Vercel Blob for logos, gallery, hero, page hero, avatars, and screenshots.","Admin / Recruiter / Student","P1","Yes","P0","Upload API returns durable blob URLs and is reused across image surfaces.","32","M1"
"H-02","Content & Media","Homepage image management","首頁圖片管理","Admin manages homepage hero images, including localized slots.","Admin","P1","Yes","P1","Homepage renders admin-managed images rather than hardcoded assets.","28","M1"
"H-03","Content & Media","Browse/jobs page hero images","公司與職缺頁圖片管理","Admin manages decorative image carousels for `/browse` and `/jobs` pages.","Admin / Public visitor","P1","Yes","P2","Page hero images display above list content and respect responsive layout.","24","M2"
"H-04","Content & Media","Page hero luminance treatment","頁首圖片明暗文字處理","Use photo-background headers with readable text treatment on browse/jobs pages.","Public visitor / Student","P1","Yes","P2","Text remains readable over admin-uploaded imagery.","20","M2"
"H-05","Content & Media","Animated brand icon GIF","動態品牌 GIF 圖示","Provide a GIF conversion of the animated SVG icon for surfaces that cannot render CSS-animated SVG.","System / Marketing","P1","Yes","P2","GIF is 512x512, 462 frames over 7.7s, effective 60fps.","8","M2"
"I-01","Compliance & Privacy","PIPA consent checkbox","個資同意勾選","Require explicit consent when collecting student profile data and CV links.","Student / System","P1","Yes","P0","Registration and booking flows block submission without consent.","18","M1"
"I-02","Compliance & Privacy","Targeted CV sharing model","指定分享履歷模式","Share CV links only with recruiters involved in the student's booking or permitted visibility context.","Student / Recruiter","P1","Yes","P0","Recruiter contact email is hidden from student-facing pages to reduce bypass behavior.","28","M1"
"I-03","Compliance & Privacy","Terms and privacy pages","服務條款與隱私權頁","Provide public legal pages for platform terms and privacy policy.","Public visitor / Student / Recruiter","P1","Yes","P0","Footer/legal links route to accessible public pages.","16","M1"
"I-04","Compliance & Privacy","Applicant directory privacy tightening","學生目錄隱私強化","Limit recruiter access to applicant profiles by consent, discoverability, or prior interaction.","Student / Recruiter / Admin","P2","No","P0","Known gap: current reverse-booking/both mode can expose broad applicant profiles to recruiters.","60","P2"
"I-05","Compliance & Privacy","Account deletion request flow","帳號刪除請求","Let users request permanent deletion or account closure from profile/settings.","Student / Recruiter / Admin","P2","No","P1","Policy exists; self-service workflow is future work.","40","P2"
"J-01","Analytics & Operations","Feedback and bug reports","意見與錯誤回報","Collect feedback/bug/feature reports with severity, route, user agent, viewport, logs, and optional screenshot.","Student / Recruiter / Admin","P1","Yes","P1","Admin can review status and resolve reports.","36","M2"
"J-02","Analytics & Operations","Admin feedback triage","管理員回饋處理","Show submitted feedback in admin and let staff triage or resolve it.","Admin","P1","Yes","P2","Feedback records have open, triaged, and resolved states.","24","M2"
"J-03","Analytics & Operations","External jobs crawl","外部職缺爬取","Crawl Vietnamese-relevant jobs from external sources such as 104 and 1111.","System / Admin","P1","Partial","P2","External job tables and crawl logs exist; surface can be enabled or hidden by product choice.","48","M2"
"J-04","Analytics & Operations","Crawl logs","爬取紀錄","Record source, status, inserted/updated counts, errors, and duration for external job crawls.","Admin / System","P1","Yes","P2","Logs support debugging scheduled/imported job data.","16","M2"
"J-05","Analytics & Operations","Local backup script","本地備份腳本","Mirror Neon database dumps and Vercel Blob files to a local machine.","Admin / System","P1","Yes","P1","Backup captures DB plus blob assets and retains recent compressed dumps.","36","M2"
"J-06","Analytics & Operations","Scheduled backup jobs","定期備份排程","Run local backups hourly through launchd or user systemd.","Admin / System","P1","Yes","P2","Linux and macOS scheduling instructions exist; service checks secrets and pg_dump availability.","28","M2"
"K-01","Marketing & SEO","PWA install metadata","PWA 安裝資訊","Configure manifest, app name, Apple touch icon, and install-facing metadata.","Public visitor / Student / Recruiter","P1","Yes","P1","Add to Home Screen shows tecxwork branding and icon.","24","M1"
"K-02","Marketing & SEO","Install prompt frequency cap","安裝提示次數限制","Remind mobile users to install the PWA at most three times.","Public visitor / Student / Recruiter","P1","Yes","P2","Suppressed after install/standalone mode or three shows.","16","M2"
"K-03","Marketing & SEO","Open Graph image","社群分享預覽圖","Generate a cacheable social preview image for shared links.","Public visitor / System","P1","Yes","P1","OG endpoint returns cacheable PNG so Facebook/Messenger/iMessage previews can render.","24","M1"
"K-04","Marketing & SEO","Global SEO metadata","全站 SEO 中繼資料","Set titles, descriptions, hreflang, canonical URLs, robots, and brand entity metadata.","Public visitor / System","P1","Yes","P1","Homepage metadata reinforces tecxwork as a Vietnamese jobs in Taiwan brand.","32","M1"
"K-05","Marketing & SEO","Sitemap and robots","Sitemap 與 robots","Generate sitemap.xml and robots.txt for public pages and approved job pages.","System","P1","Yes","P1","Private/admin/API routes are disallowed; public routes and localized alternates are exposed.","24","M1"
"K-06","Marketing & SEO","JobPosting structured data","職缺結構化資料","Emit schema.org JobPosting JSON-LD on public job detail pages.","System / Public visitor","P1","Yes","P1","Approved jobs can become eligible for Google Jobs when recruiter data is complete.","32","M2"
"L-01","Platform & Architecture","Next.js app router platform","Next.js App Router 平台","Use the project-specific Next.js app router structure for public, student, recruiter, admin, and API routes.","System","P1","Yes","P0","Agents must read installed Next docs before changing framework-specific code.","80","M1"
"L-02","Platform & Architecture","Drizzle + Postgres schema","Drizzle 與 Postgres 資料模型","Typed database schema for users, recruiters, applicants, jobs, slots, bookings, notifications, feedback, and config.","System","P1","Yes","P0","Schema supports event operations and incremental migration helpers.","72","M1"
"L-03","Platform & Architecture","Neon database integration","Neon 資料庫整合","Use Neon Postgres for runtime and migration/database maintenance flows.","System","P1","Yes","P0","Runtime reads `DATABASE_URL`; pg_dump backup uses direct non-pooler host.","28","M1"
"L-04","Platform & Architecture","Vercel deployment","Vercel 部署","Deploy the Next.js app and serverless routes to Vercel.","System","P1","Yes","P0","Environment variables configure site URL, database, email, blob, cron, and push.","32","M1"
"L-05","Platform & Architecture","Resend email integration","Resend Email 整合","Send transactional verification, booking, reminder, and notification emails.","System","P1","Yes","P0","Email sends are logged and failures are captured where routes support it.","32","M1"
"L-06","Platform & Architecture","Multi-tenant event model","多租戶活動模型","Evolve single-event deployment into reusable SaaS with organizations, events, and scoped data.","Admin / System","P2","No","P0","Requires scoping recruiters, slots, bookings, pages, branding, and roles by organization/event.","160","P2"
"L-07","Platform & Architecture","Organizer branding layer","主辦方品牌層","Let each organizer customize colors, logos, copy, and event presentation.","Admin / Organizer","P2","No","P1","Build on existing event_config and image-management primitives.","80","P2"
"L-08","Platform & Architecture","Expanded permissions","進階權限角色","Add platform owner, organization admin, event admin, recruiter, and student permission boundaries.","Admin / System","P2","No","P0","Needed before multi-tenant SaaS rollout.","96","P2"
"L-09","Platform & Architecture","AI talent matching","AI 人才媒合","Parse CV/profile data and recommend matches between students and job openings.","Student / Recruiter / Admin","P3","No","P1","Future roadmap item after data model and consent boundaries are tightened.","140","P3"
"L-10","Platform & Architecture","Secure hosted CV storage","平台履歷檔案儲存","Store CV files directly in the platform with access controls instead of relying on Google Drive links.","Student / Recruiter / System","P3","No","P2","Higher cost and compliance complexity; current MVP intentionally offloads files to Google Drive.","120","P3"
